,transmitance_filename,RPM_filename,PDMS #,RPM,RPM_std,thickness (um),thickness_std,min_wavelength,max_wavelength,n_max
0,trans_PDMS_1.TRM,PDMS RPM 1.5.CSV,1,5523.750090442081,3.3705773483277386,6.4750000000000005,0.47826704545454557,440,740,21.0
1,trans_PDMS_2.TRM,PDMS RPM 2.CSV,2,4358.358611391978,1.92296707359175,12.025000000000002,0.8882102272727275,440,740,39.0
2,trans_PDMS_3.TRM,PDMS RPM 3.CSV,3,3726.713825413873,1.8899683829480904,9.558333333333335,0.7060132575757577,440,740,31.0
3,trans_PDMS_4.TRM,PDMS RPM 4.CSV,4,3291.281087333719,1.5652570195639914,11.100000000000001,0.8198863636363639,440,740,36.0
4,trans_PDMS_5.TRM,PDMS RPM 5.CSV,5,2664.3173198482937,2.245456039230685,13.875000000000002,1.0248579545454546,440,740,45.0
5,trans_PDMS_6.TRM,PDMS RPM 6.CSV,6,2198.819589598894,1.707686613544977,16.650000000000002,1.2298295454545456,440,740,54.0
6,trans_PDMS_7.TRM,PDMS RPM 7.CSV,7,1611.4966582789264,2.238993823906532,22.01828250863062,1.626350412569307,623,702,14.0
7,trans_PDMS_8.TRM,PDMS RPM 8.CSV,8,1114.3271663162914,0.8676222685549618,33.867860671936754,2.5016033450862376,571,686,35.0
8,trans_PDMS_9.TRM,PDMS RPM 9.CSV,9,915.4405674880056,1.082977247403389,41.156802507837,3.0399910943288697,593,738,48.0
9,trans_PDMS_11.TRM,PDMS RPM 11.CSV,11,3490.404943893316,1.7605004955772037,12.333333333333336,0.9109848484848487,440,740,40.0
10,trans_PDMS_12.TRM,PDMS RPM 12.CSV,12,4043.136476185776,2.5686882215444475,10.791666666666668,0.7971117424242425,440,740,35.0
11,trans_RPM_13.TRM,PDMS RPM 13.CSV,13,4779.609707534615,2.073610512418063,9.250000000000002,0.6832386363636366,440,740,30.0
12,trans_PDMS_14.TRM,PDMS RPM 14.CSV,14,5573.621811008959,2.23985989764314,7.8178327645051215,0.5774535564691283,440,733,25.0
